season,team_alias,team_basket,player_full_name,event_coord_x,event_coord_y,event_type,type,shot_made,shot_type,shot_subtype,three_point_shot,points_scored
2014,UNC,right,Nate Britt,1045.0,327.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Kennedy Meeks,1042.0,328.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Joel Berry II,997.0,342.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,right,J.P. Tokoto,1019.0,281.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Nate Britt,94.0,301.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Justin Jackson,897.0,418.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Desmond Hubert,74.0,274.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2014,UNC,right,Kennedy Meeks,1061.0,277.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Justin Jackson,1057.0,328.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,J.P. Tokoto,237.0,325.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,left,Brice Johnson,85.0,238.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Nate Britt,1062.0,359.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Brice Johnson,116.0,269.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Isaiah Hicks,1055.0,320.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,left,Isaiah Hicks,77.0,274.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Justin Jackson,113.0,335.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Marcus Paige,903.0,129.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Brice Johnson,1055.0,312.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,right,Marcus Paige,1030.0,238.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,left,Brice Johnson,88.0,305.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,right,Joel Berry II,1057.0,328.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,right,Kennedy Meeks,1054.0,263.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Kennedy Meeks,77.0,280.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Brice Johnson,79.0,262.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,right,Luke Maye,1034.0,304.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,right,Justin Jackson,1042.0,270.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Kennedy Meeks,858.0,288.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,left,Brice Johnson,101.0,392.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,left,Isaiah Hicks,116.0,294.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Brice Johnson,68.0,317.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Marcus Paige,74.0,174.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,right,Isaiah Hicks,985.0,283.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,left,Justin Jackson,92.0,161.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Brice Johnson,1059.0,305.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,left,Joel James,147.0,296.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,left,Brice Johnson,174.0,218.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Joel Berry II,931.0,270.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,left,Brice Johnson,105.0,280.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,right,Joel Berry II,1044.0,274.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Isaiah Hicks,96.0,260.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,right,Brice Johnson,1048.0,321.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,right,Brice Johnson,1020.0,267.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,right,Brice Johnson,1028.0,257.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,left,Theo Pinson,72.0,228.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,left,Brice Johnson,106.0,256.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,left,Nate Britt,79.0,266.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Justin Jackson,70.0,317.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,right,Theo Pinson,1042.0,284.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,left,Brice Johnson,105.0,200.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,right,Joel Berry II,823.0,245.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,left,Kennedy Meeks,95.0,322.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Brandon Robinson,982.0,307.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Luke Maye,1026.0,277.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,left,Joel Berry II,105.0,241.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Luke Maye,1030.0,137.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,right,Kennedy Meeks,1051.0,345.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Kenny Williams,873.0,276.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,right,Kennedy Meeks,1028.0,290.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Kennedy Meeks,968.0,287.0,twopointmade,fieldgoal,true,hook shot,,false,2.0
2016,UNC,left,Isaiah Hicks,122.0,267.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2016,UNC,left,Theo Pinson,137.0,267.0,twopointmade,fieldgoal,true,layup,driving,false,2.0
2016,UNC,left,Justin Jackson,87.0,329.0,twopointmade,fieldgoal,true,layup,putback,false,2.0
2016,UNC,right,Seventh Woods,1062.0,256.0,twopointmade,fieldgoal,true,layup,driving,false,2.0
2016,UNC,left,Brandon Robinson,84.0,273.0,twopointmade,fieldgoal,true,tip shot,,false,2.0
2016,UNC,left,Stilman White,271.0,300.0,twopointmade,fieldgoal,true,jump shot,pullup,false,2.0
2016,UNC,left,Justin Jackson,72.0,338.0,twopointmade,fieldgoal,true,layup,driving,false,2.0
2016,UNC,right,Nate Britt,1079.0,296.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,left,Luke Maye,68.0,288.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,right,Kennedy Meeks,1051.0,332.0,twopointmade,fieldgoal,true,tip shot,,false,2.0
2016,UNC,right,Tony Bradley,1054.0,266.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Joel Berry II,1019.0,468.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,right,Isaiah Hicks,1037.0,293.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2016,UNC,right,Kenny Williams,997.0,291.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Luke Maye,1011.0,281.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Tony Bradley,997.0,311.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Justin Jackson,1034.0,262.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2016,UNC,right,Luke Maye,937.0,291.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,right,Justin Jackson,1061.0,149.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,left,Luke Maye,144.0,272.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Isaiah Hicks,127.0,324.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,right,Isaiah Hicks,1030.0,320.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2014,UNC,right,Brice Johnson,1027.0,300.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Isaiah Hicks,91.0,307.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,left,Brice Johnson,79.0,288.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,right,Isaiah Hicks,1038.0,297.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,left,Brice Johnson,218.0,281.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Theo Pinson,1051.0,338.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,left,Isaiah Hicks,101.0,291.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Luke Maye,1050.0,293.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2016,UNC,left,Justin Jackson,112.0,328.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,J.P. Tokoto,1030.0,264.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2014,UNC,right,Kennedy Meeks,1011.0,293.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Isaiah Hicks,95.0,270.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2014,UNC,left,Brice Johnson,96.0,266.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,right,Kennedy Meeks,976.0,297.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,left,Joel Berry II,85.0,276.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Kennedy Meeks,1034.0,328.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Justin Jackson,1009.0,438.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Kennedy Meeks,103.0,315.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Jackson Simmons,130.0,267.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Joel Berry II,1033.0,198.0,twopointmade,fieldgoal,true,jump shot,floating,false,2.0
2016,UNC,right,Justin Jackson,1024.0,266.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2014,UNC,right,Justin Jackson,1054.0,318.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Joel James,1024.0,147.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,right,Luke Maye,1031.0,324.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Justin Jackson,1021.0,297.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,left,Brice Johnson,82.0,281.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,left,Brice Johnson,78.0,270.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,right,Marcus Paige,1052.0,321.0,twopointmade,fieldgoal,true,layup,,false,2.0
